,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,classifier
,SVM,0.9,0.25,0.15,97.77636595,97.46543779,99.84264359,67.34434562,4
,SVM,0.9,0.3,0.15,97.64930114,97.31595092,99.84264359,67.53494282,4
,SVM,0.9,0.4,0.15,97.96696315,97.69053118,99.84264359,72.55400254,4
,SVM,0.95,0.1,0.01,98.53875476,98.59813084,99.60660897,78.14485388,4
,SVM,0.95,0.15,0.01,98.22109276,98.44115355,99.37057435,76.74714104,4
,SVM,0.95,0.2,0.01,98.60228717,98.59922179,99.68528718,78.9707751,4
,SVM,0.95,0.25,0.01,98.91994917,98.75583204,99.92132179,82.84625159,4
,SVM,0.95,0.3,0.01,98.91994917,98.75583204,99.92132179,84.62515883,4
,SVM,0.95,0.4,0.01,99.23761118,99.14129586,99.92132179,87.10292249,4
,SVM,0.95,0.1,0.03,98.47522236,98.59703819,99.52793076,79.2249047,4
,SVM,0.95,0.15,0.03,98.60228717,98.7509758,99.52793076,79.3519695,4
,SVM,0.95,0.2,0.03,98.79288437,98.75389408,99.76396538,81.19440915,4
,SVM,0.95,0.25,0.03,98.91994917,98.8317757,99.84264359,83.54510801,4
,SVM,0.95,0.3,0.03,98.85641677,98.75486381,99.84264359,83.60864041,4
,SVM,0.95,0.4,0.03,99.11054638,98.98674981,99.92132179,87.3570521,4
,SVM,0.95,0.1,0.05,98.91994917,98.90795632,99.76396538,82.08386277,4
,SVM,0.95,0.15,0.05,98.79288437,98.8299532,99.68528718,82.52858958,4
,SVM,0.95,0.2,0.05,99.17407878,99.06396256,99.92132179,85.06988564,4
,SVM,0.95,0.25,0.05,99.17407878,99.06396256,99.92132179,85.70520966,4
,SVM,0.95,0.3,0.05,99.17407878,99.06396256,99.92132179,86.08640407,4
,SVM,0.95,0.4,0.05,99.30114358,99.21875,99.92132179,88.05590851,4
,SVM,0.95,0.1,0.08,98.98348158,99.06176701,99.68528718,84.62515883,4
,SVM,0.95,0.15,0.08,98.85641677,98.75486381,99.84264359,83.4180432,4
,SVM,0.95,0.2,0.08,98.72935197,98.75292284,99.68528718,82.46505718,4
,SVM,0.95,0.25,0.08,99.36467598,99.29632525,99.92132179,86.59466328,4
,SVM,0.95,0.3,0.08,99.11054638,98.98674981,99.92132179,86.72172808,4
,SVM,0.95,0.4,0.08,99.17407878,99.06396256,99.92132179,88.75476493,4
,SVM,0.95,0.1,0.1,99.04701398,98.90965732,99.92132179,84.62515883,4
,SVM,0.95,0.15,0.1,99.04701398,98.98595944,99.84264359,85.06988564,4
,SVM,0.95,0.2,0.1,99.04701398,98.90965732,99.92132179,85.51461245,4
,SVM,0.95,0.25,0.1,99.36467598,99.29632525,99.92132179,88.05590851,4
,SVM,0.95,0.3,0.1,99.23761118,99.14129586,99.92132179,86.84879288,4
,SVM,0.95,0.4,0.1,99.11054638,98.98674981,99.92132179,88.18297332,4
,SVM,0.95,0.1,0.15,99.30114358,99.21875,99.92132179,87.80177891,4
,SVM,0.95,0.15,0.15,99.30114358,99.21875,99.92132179,88.56416773,4
,SVM,0.95,0.2,0.15,99.36467598,99.29632525,99.92132179,87.73824651,4
,SVM,0.95,0.25,0.15,99.11054638,98.98674981,99.92132179,87.4841169,4
,SVM,0.95,0.3,0.15,99.23761118,99.14129586,99.92132179,88.43710292,4
,SVM,0.95,0.4,0.15,99.17407878,99.06396256,99.92132179,87.99237611,4
,SVM,0.99,0.1,0.01,99.9364676,100,99.92132179,98.28462516,4
,SVM,0.99,0.15,0.01,99.9364676,100,99.92132179,98.47522236,4
,SVM,0.99,0.2,0.01,99.9364676,100,99.92132179,98.41168996,4
,SVM,0.99,0.25,0.01,99.9364676,100,99.92132179,98.72935197,4
,SVM,0.99,0.3,0.01,99.9364676,100,99.92132179,98.66581957,4
,SVM,0.99,0.4,0.01,99.9364676,100,99.92132179,98.72935197,4
,SVM,0.99,0.1,0.03,99.9364676,100,99.92132179,98.91994917,4
,SVM,0.99,0.15,0.03,99.9364676,100,99.92132179,98.98348158,4
,SVM,0.99,0.2,0.03,99.9364676,100,99.92132179,98.91994917,4
,SVM,0.99,0.25,0.03,99.9364676,100,99.92132179,98.72935197,4
,SVM,0.99,0.3,0.03,99.9364676,100,99.92132179,98.79288437,4
,SVM,0.99,0.4,0.03,99.9364676,100,99.92132179,98.98348158,4
,SVM,0.99,0.1,0.05,99.9364676,100,99.92132179,99.11054638,4
,SVM,0.99,0.15,0.05,99.9364676,100,99.92132179,99.17407878,4
,SVM,0.99,0.2,0.05,99.9364676,100,99.92132179,98.79288437,4
,SVM,0.99,0.25,0.05,99.9364676,100,99.92132179,98.98348158,4
,SVM,0.99,0.3,0.05,99.9364676,100,99.92132179,99.04701398,4
,SVM,0.99,0.4,0.05,99.9364676,100,99.92132179,99.23761118,4
,SVM,0.99,0.1,0.08,99.9364676,100,99.92132179,98.85641677,4
,SVM,0.99,0.15,0.08,99.9364676,100,99.92132179,99.11054638,4
,SVM,0.99,0.2,0.08,99.9364676,100,99.92132179,98.79288437,4
,SVM,0.99,0.25,0.08,100,100,100,99.23761118,4
,SVM,0.99,0.3,0.08,99.9364676,100,99.92132179,99.17407878,4
,SVM,0.99,0.4,0.08,99.9364676,100,99.92132179,99.11054638,4
,SVM,0.99,0.1,0.1,99.9364676,100,99.92132179,99.17407878,4
,SVM,0.99,0.15,0.1,99.9364676,100,99.92132179,99.17407878,4
,SVM,0.99,0.2,0.1,99.9364676,100,99.92132179,99.11054638,4
,SVM,0.99,0.25,0.1,99.9364676,100,99.92132179,99.17407878,4
,SVM,0.99,0.3,0.1,99.9364676,100,99.92132179,99.04701398,4
,SVM,0.99,0.4,0.1,99.9364676,100,99.92132179,99.11054638,4
,SVM,0.99,0.1,0.15,100,100,100,99.23761118,4
,SVM,0.99,0.15,0.15,99.9364676,100,99.92132179,98.98348158,4
,SVM,0.99,0.2,0.15,99.9364676,100,99.92132179,99.30114358,4
,SVM,0.99,0.25,0.15,99.9364676,100,99.92132179,99.17407878,4
,SVM,0.99,0.3,0.15,99.9364676,100,99.92132179,99.23761118,4
,SVM,0.99,0.4,0.15,99.9364676,100,99.92132179,99.11054638,4
