,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,classifier
166,Decision Tree,0.99,0.3,0.08,84.75222363,90.17926734,91.0306845,29.98729352,1
167,Decision Tree,0.99,0.4,0.08,87.73824651,92.30769231,92.52557042,39.96188056,1
168,Decision Tree,0.99,0.1,0.1,74.33290978,86.39798489,80.95987411,9.974587039,1
169,Decision Tree,0.99,0.15,0.1,78.39898348,88.06214227,84.73642801,14.99364676,1
170,Decision Tree,0.99,0.2,0.1,81.51207116,89.51612903,87.33280881,19.94917408,1
171,Decision Tree,0.99,0.25,0.1,81.70266836,89.28856914,87.88355625,24.9682338,1
172,Decision Tree,0.99,0.3,0.1,84.87928844,90.00774593,91.42407553,29.98729352,1
173,Decision Tree,0.99,0.4,0.1,87.4205845,92.34411997,92.05350118,39.96188056,1
174,Decision Tree,0.99,0.1,0.15,75.22236341,87.11036226,81.35326515,9.974587039,1
175,Decision Tree,0.99,0.15,0.15,78.52604828,87.8960195,85.12981904,14.99364676,1
176,Decision Tree,0.99,0.2,0.15,81.00381194,89.44805195,86.70338316,19.94917408,1
177,Decision Tree,0.99,0.25,0.15,82.21092757,89.0464933,88.90637293,24.9682338,1
178,Decision Tree,0.99,0.3,0.15,84.87928844,90.25720966,91.10936271,29.98729352,1
179,Decision Tree,0.99,0.4,0.15,86.65819568,92.13661636,91.26671912,39.96188056,1
,Logistic Regression,0.8,0.1,0.01,91.99491741,91.21670266,99.68528718,26.81067344,2
,Logistic Regression,0.8,0.15,0.01,94.53621347,93.66249079,100,37.4841169,2
,Logistic Regression,0.8,0.2,0.01,94.40914867,93.52465048,100,39.39008895,2
,Logistic Regression,0.8,0.25,0.01,94.72681067,93.87001477,100,43.26556544,2
,Logistic Regression,0.8,0.3,0.01,94.79034307,93.93939394,100,45.48919949,2
,Logistic Regression,0.8,0.4,0.01,95.55273189,94.91398654,99.84264359,53.68487929,2
,Logistic Regression,0.8,0.1,0.03,93.13850064,92.29090909,99.84264359,31.89326557,2
,Logistic Regression,0.8,0.15,0.03,94.53621347,93.66249079,100,39.07242694,2
,Logistic Regression,0.8,0.2,0.03,94.91740788,94.0784604,100,41.16899619,2
