,model,threshold,split_1,split_2,accuracy,human effort
79,Decision Tree,0.9,0.15,0.03,80.65326633165829,14.824120603015075
80,Decision Tree,0.9,0.2,0.03,82.66331658291458,19.849246231155778
81,Decision Tree,0.9,0.25,0.03,83.16582914572864,24.87437185929648
82,Decision Tree,0.9,0.3,0.03,88.19095477386935,29.899497487437184
83,Decision Tree,0.9,0.4,0.03,85.92964824120602,39.949748743718594
84,Decision Tree,0.9,0.1,0.05,82.1608040201005,9.798994974874372
85,Decision Tree,0.9,0.15,0.05,80.65326633165829,14.824120603015075
86,Decision Tree,0.9,0.2,0.05,80.65326633165829,19.849246231155778
87,Decision Tree,0.9,0.25,0.05,82.66331658291458,24.87437185929648
88,Decision Tree,0.9,0.3,0.05,87.68844221105527,29.899497487437184
89,Decision Tree,0.9,0.4,0.05,88.19095477386935,39.949748743718594
90,Decision Tree,0.9,0.1,0.08,82.1608040201005,9.798994974874372
91,Decision Tree,0.9,0.15,0.08,81.4070351758794,14.824120603015075
92,Decision Tree,0.9,0.2,0.08,81.90954773869346,19.849246231155778
93,Decision Tree,0.9,0.25,0.08,84.42211055276383,24.87437185929648
94,Decision Tree,0.9,0.3,0.08,84.92462311557789,29.899497487437184
95,Decision Tree,0.9,0.4,0.08,87.43718592964824,39.949748743718594
96,Decision Tree,0.9,0.1,0.1,82.1608040201005,9.798994974874372
97,Decision Tree,0.9,0.15,0.1,81.4070351758794,14.824120603015075
98,Decision Tree,0.9,0.2,0.1,82.41206030150754,19.849246231155778
99,Decision Tree,0.9,0.25,0.1,82.66331658291458,24.87437185929648
100,Decision Tree,0.9,0.3,0.1,89.44723618090453,29.899497487437184
101,Decision Tree,0.9,0.4,0.1,85.678391959799,39.949748743718594
102,Decision Tree,0.9,0.1,0.15,82.1608040201005,9.798994974874372
103,Decision Tree,0.9,0.15,0.15,80.65326633165829,14.824120603015075
104,Decision Tree,0.9,0.2,0.15,82.66331658291458,19.849246231155778
105,Decision Tree,0.9,0.25,0.15,83.41708542713567,24.87437185929648
106,Decision Tree,0.9,0.3,0.15,88.44221105527639,29.899497487437184
107,Decision Tree,0.9,0.4,0.15,86.18090452261306,39.949748743718594
108,Decision Tree,0.95,0.1,0.01,82.1608040201005,9.798994974874372
109,Decision Tree,0.95,0.15,0.01,81.4070351758794,14.824120603015075
110,Decision Tree,0.95,0.2,0.01,83.16582914572864,19.849246231155778
111,Decision Tree,0.95,0.25,0.01,83.16582914572864,24.87437185929648
112,Decision Tree,0.95,0.3,0.01,87.43718592964824,29.899497487437184
113,Decision Tree,0.95,0.4,0.01,85.92964824120602,39.949748743718594
114,Decision Tree,0.95,0.1,0.03,82.1608040201005,9.798994974874372
115,Decision Tree,0.95,0.15,0.03,81.4070351758794,14.824120603015075
116,Decision Tree,0.95,0.2,0.03,83.16582914572864,19.849246231155778
117,Decision Tree,0.95,0.25,0.03,83.16582914572864,24.87437185929648
118,Decision Tree,0.95,0.3,0.03,84.92462311557789,29.899497487437184
119,Decision Tree,0.95,0.4,0.03,87.43718592964824,39.949748743718594
120,Decision Tree,0.95,0.1,0.05,82.1608040201005,9.798994974874372
121,Decision Tree,0.95,0.15,0.05,80.65326633165829,14.824120603015075
122,Decision Tree,0.95,0.2,0.05,83.16582914572864,19.849246231155778
123,Decision Tree,0.95,0.25,0.05,83.91959798994975,24.87437185929648
124,Decision Tree,0.95,0.3,0.05,88.19095477386935,29.899497487437184
125,Decision Tree,0.95,0.4,0.05,85.678391959799,39.949748743718594
126,Decision Tree,0.95,0.1,0.08,82.1608040201005,9.798994974874372
127,Decision Tree,0.95,0.15,0.08,81.4070351758794,14.824120603015075
128,Decision Tree,0.95,0.2,0.08,83.41708542713567,19.849246231155778
129,Decision Tree,0.95,0.25,0.08,83.16582914572864,24.87437185929648
130,Decision Tree,0.95,0.3,0.08,88.19095477386935,29.899497487437184
131,Decision Tree,0.95,0.4,0.08,87.1859296482412,39.949748743718594
132,Decision Tree,0.95,0.1,0.1,82.1608040201005,9.798994974874372
133,Decision Tree,0.95,0.15,0.1,80.65326633165829,14.824120603015075
134,Decision Tree,0.95,0.2,0.1,82.91457286432161,19.849246231155778
135,Decision Tree,0.95,0.25,0.1,83.16582914572864,24.87437185929648
136,Decision Tree,0.95,0.3,0.1,85.17587939698493,29.899497487437184
137,Decision Tree,0.95,0.4,0.1,86.68341708542714,39.949748743718594
138,Decision Tree,0.95,0.1,0.15,82.1608040201005,9.798994974874372
139,Decision Tree,0.95,0.15,0.15,81.4070351758794,14.824120603015075
140,Decision Tree,0.95,0.2,0.15,80.65326633165829,19.849246231155778
141,Decision Tree,0.95,0.25,0.15,83.41708542713567,24.87437185929648
142,Decision Tree,0.95,0.3,0.15,87.93969849246231,29.899497487437184
143,Decision Tree,0.95,0.4,0.15,85.678391959799,39.949748743718594
144,Decision Tree,0.99,0.1,0.01,82.1608040201005,9.798994974874372
145,Decision Tree,0.99,0.15,0.01,81.4070351758794,14.824120603015075
146,Decision Tree,0.99,0.2,0.01,82.1608040201005,19.849246231155778
147,Decision Tree,0.99,0.25,0.01,84.42211055276383,24.87437185929648
148,Decision Tree,0.99,0.3,0.01,87.43718592964824,29.899497487437184
149,Decision Tree,0.99,0.4,0.01,86.4321608040201,39.949748743718594
150,Decision Tree,0.99,0.1,0.03,82.1608040201005,9.798994974874372
151,Decision Tree,0.99,0.15,0.03,81.4070351758794,14.824120603015075
152,Decision Tree,0.99,0.2,0.03,82.41206030150754,19.849246231155778
153,Decision Tree,0.99,0.25,0.03,82.66331658291458,24.87437185929648
154,Decision Tree,0.99,0.3,0.03,88.44221105527639,29.899497487437184
155,Decision Tree,0.99,0.4,0.03,88.19095477386935,39.949748743718594
156,Decision Tree,0.99,0.1,0.05,82.1608040201005,9.798994974874372
157,Decision Tree,0.99,0.15,0.05,81.4070351758794,14.824120603015075
158,Decision Tree,0.99,0.2,0.05,80.90452261306532,19.849246231155778
159,Decision Tree,0.99,0.25,0.05,83.41708542713567,24.87437185929648
160,Decision Tree,0.99,0.3,0.05,88.44221105527639,29.899497487437184
161,Decision Tree,0.99,0.4,0.05,85.678391959799,39.949748743718594
162,Decision Tree,0.99,0.1,0.08,82.1608040201005,9.798994974874372
163,Decision Tree,0.99,0.15,0.08,81.4070351758794,14.824120603015075
164,Decision Tree,0.99,0.2,0.08,81.4070351758794,19.849246231155778
165,Decision Tree,0.99,0.25,0.08,83.91959798994975,24.87437185929648
166,Decision Tree,0.99,0.3,0.08,84.42211055276383,29.899497487437184
167,Decision Tree,0.99,0.4,0.08,87.93969849246231,39.949748743718594
168,Decision Tree,0.99,0.1,0.1,82.1608040201005,9.798994974874372
169,Decision Tree,0.99,0.15,0.1,81.4070351758794,14.824120603015075
170,Decision Tree,0.99,0.2,0.1,79.89949748743719,19.849246231155778
171,Decision Tree,0.99,0.25,0.1,84.67336683417085,24.87437185929648
172,Decision Tree,0.99,0.3,0.1,85.17587939698493,29.899497487437184
