,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
81,Logistic Regression,0.9,0.25,0.03,99.08256881,100,94.7761194,74.31192661,Logistic Regression
82,Logistic Regression,0.9,0.3,0.03,98.95150721,100,94.02985075,72.73918742,Logistic Regression
83,Logistic Regression,0.9,0.4,0.03,99.8689384,100,99.25373134,81.52031455,Logistic Regression
84,Logistic Regression,0.9,0.1,0.05,98.82044561,100,93.28358209,70.51114024,Logistic Regression
85,Logistic Regression,0.9,0.15,0.05,99.08256881,100,94.7761194,74.04980341,Logistic Regression
86,Logistic Regression,0.9,0.2,0.05,99.08256881,100,94.7761194,75.3604194,Logistic Regression
87,Logistic Regression,0.9,0.25,0.05,99.21363041,100,95.52238806,76.01572739,Logistic Regression
88,Logistic Regression,0.9,0.3,0.05,98.95150721,100,94.02985075,72.73918742,Logistic Regression
89,Logistic Regression,0.9,0.4,0.05,99.8689384,100,99.25373134,81.65137615,Logistic Regression
90,Logistic Regression,0.9,0.1,0.08,99.6068152,100,97.76119403,75.6225426,Logistic Regression
91,Logistic Regression,0.9,0.15,0.08,99.6068152,100,97.76119403,75.88466579,Logistic Regression
92,Logistic Regression,0.9,0.2,0.08,99.08256881,100,94.7761194,75.88466579,Logistic Regression
93,Logistic Regression,0.9,0.25,0.08,99.21363041,100,95.52238806,76.67103539,Logistic Regression
94,Logistic Regression,0.9,0.3,0.08,98.95150721,100,94.02985075,73.13237221,Logistic Regression
95,Logistic Regression,0.9,0.4,0.08,99.8689384,100,99.25373134,81.78243775,Logistic Regression
96,Logistic Regression,0.9,0.1,0.1,99.6068152,100,97.76119403,75.88466579,Logistic Regression
97,Logistic Regression,0.9,0.15,0.1,99.08256881,100,94.7761194,74.5740498,Logistic Regression
98,Logistic Regression,0.9,0.2,0.1,99.08256881,100,94.7761194,76.01572739,Logistic Regression
99,Logistic Regression,0.9,0.25,0.1,99.21363041,100,95.52238806,76.53997379,Logistic Regression
100,Logistic Regression,0.9,0.3,0.1,98.95150721,100,94.02985075,73.00131062,Logistic Regression
101,Logistic Regression,0.9,0.4,0.1,99.8689384,100,99.25373134,81.78243775,Logistic Regression
102,Logistic Regression,0.9,0.1,0.15,98.82044561,100,93.28358209,72.47706422,Logistic Regression
103,Logistic Regression,0.9,0.15,0.15,99.7378768,100,98.50746269,78.63695937,Logistic Regression
104,Logistic Regression,0.9,0.2,0.15,99.08256881,100,94.7761194,75.88466579,Logistic Regression
105,Logistic Regression,0.9,0.25,0.15,99.21363041,100,95.52238806,77.19528178,Logistic Regression
106,Logistic Regression,0.9,0.3,0.15,98.95150721,100,94.02985075,73.39449541,Logistic Regression
107,Logistic Regression,0.9,0.4,0.15,99.8689384,100,99.25373134,82.17562254,Logistic Regression
108,Logistic Regression,0.95,0.1,0.01,100,100,100,91.74311927,Logistic Regression
109,Logistic Regression,0.95,0.15,0.01,100,100,100,92.13630406,Logistic Regression
