,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
112,Decision Tree,0.95,0.3,0.01,84.01048493,54.83870968,50.74626866,29.88204456,Decision Tree
113,Decision Tree,0.95,0.4,0.01,86.10747051,61.66666667,55.2238806,39.97378768,Decision Tree
114,Decision Tree,0.95,0.1,0.03,79.29226737,40.76923077,39.55223881,9.96068152,Decision Tree
115,Decision Tree,0.95,0.15,0.03,82.83093054,51.30434783,44.02985075,14.94102228,Decision Tree
116,Decision Tree,0.95,0.2,0.03,84.92791612,58.11965812,50.74626866,19.92136304,Decision Tree
117,Decision Tree,0.95,0.25,0.03,83.61730013,53.48837209,51.49253731,24.9017038,Decision Tree
118,Decision Tree,0.95,0.3,0.03,85.58322412,60.16949153,52.98507463,29.88204456,Decision Tree
119,Decision Tree,0.95,0.4,0.03,86.76277851,63.2,58.95522388,39.97378768,Decision Tree
120,Decision Tree,0.95,0.1,0.05,81.25819135,46.08695652,39.55223881,9.96068152,Decision Tree
121,Decision Tree,0.95,0.15,0.05,82.69986894,50.75757576,50,14.94102228,Decision Tree
122,Decision Tree,0.95,0.2,0.05,84.27260813,56.14035088,47.76119403,19.92136304,Decision Tree
123,Decision Tree,0.95,0.25,0.05,84.27260813,55.64516129,51.49253731,24.9017038,Decision Tree
124,Decision Tree,0.95,0.3,0.05,85.58322412,59.52380952,55.97014925,29.88204456,Decision Tree
125,Decision Tree,0.95,0.4,0.05,86.63171691,63.33333333,56.71641791,39.97378768,Decision Tree
126,Decision Tree,0.95,0.1,0.08,80.20969856,42.34234234,35.07462687,9.96068152,Decision Tree
127,Decision Tree,0.95,0.15,0.08,84.01048493,55.88235294,42.53731343,14.94102228,Decision Tree
128,Decision Tree,0.95,0.2,0.08,84.66579292,57.39130435,49.25373134,19.92136304,Decision Tree
129,Decision Tree,0.95,0.25,0.08,84.66579292,57.14285714,50.74626866,24.9017038,Decision Tree
130,Decision Tree,0.95,0.3,0.08,86.23853211,62.83185841,52.98507463,29.88204456,Decision Tree
131,Decision Tree,0.95,0.4,0.08,85.84534731,60.31746032,56.71641791,39.97378768,Decision Tree
132,Decision Tree,0.95,0.1,0.1,81.25819135,46.08695652,39.55223881,9.96068152,Decision Tree
133,Decision Tree,0.95,0.15,0.1,83.22411533,52.63157895,44.7761194,14.94102228,Decision Tree
134,Decision Tree,0.95,0.2,0.1,85.45216252,60.55045872,49.25373134,19.92136304,Decision Tree
135,Decision Tree,0.95,0.25,0.1,84.14154653,55.2,51.49253731,24.9017038,Decision Tree
136,Decision Tree,0.95,0.3,0.1,85.32110092,59.64912281,50.74626866,29.88204456,Decision Tree
137,Decision Tree,0.95,0.4,0.1,86.50065531,62.4,58.20895522,39.97378768,Decision Tree
138,Decision Tree,0.95,0.1,0.15,80.20969856,43.7037037,44.02985075,9.96068152,Decision Tree
139,Decision Tree,0.95,0.15,0.15,83.61730013,53.33333333,53.73134328,14.94102228,Decision Tree
140,Decision Tree,0.95,0.2,0.15,84.79685452,58.18181818,47.76119403,19.92136304,Decision Tree
