,model,threshold,split_1,split_2,accuracy,human effort
69,Random Forest,0.85,0.25,0.15,96.48241206030151,61.30653266331658
70,Random Forest,0.85,0.3,0.15,95.7286432160804,62.562814070351756
71,Random Forest,0.85,0.4,0.15,96.73366834170854,68.34170854271356
72,Random Forest,0.9,0.1,0.01,94.72361809045226,47.48743718592965
73,Random Forest,0.9,0.15,0.01,95.22613065326634,53.517587939698494
74,Random Forest,0.9,0.2,0.01,95.22613065326634,55.27638190954774
75,Random Forest,0.9,0.25,0.01,95.7286432160804,58.79396984924623
76,Random Forest,0.9,0.3,0.01,95.47738693467336,60.80402010050251
77,Random Forest,0.9,0.4,0.01,96.73366834170854,68.34170854271356
78,Random Forest,0.9,0.1,0.03,94.47236180904522,49.246231155778894
79,Random Forest,0.9,0.15,0.03,95.7286432160804,57.78894472361809
80,Random Forest,0.9,0.2,0.03,95.47738693467336,58.040201005025125
81,Random Forest,0.9,0.25,0.03,96.48241206030151,62.311557788944725
82,Random Forest,0.9,0.3,0.03,95.7286432160804,63.5678391959799
83,Random Forest,0.9,0.4,0.03,96.98492462311557,69.34673366834171
84,Random Forest,0.9,0.1,0.05,95.47738693467336,53.266331658291456
85,Random Forest,0.9,0.15,0.05,96.23115577889448,58.040201005025125
86,Random Forest,0.9,0.2,0.05,95.97989949748744,58.54271356783919
87,Random Forest,0.9,0.25,0.05,95.97989949748744,62.814070351758794
88,Random Forest,0.9,0.3,0.05,96.48241206030151,65.07537688442211
89,Random Forest,0.9,0.4,0.05,97.73869346733669,72.1105527638191
90,Random Forest,0.9,0.1,0.08,95.7286432160804,54.2713567839196
91,Random Forest,0.9,0.15,0.08,96.98492462311557,61.30653266331658
92,Random Forest,0.9,0.2,0.08,95.97989949748744,61.05527638190955
93,Random Forest,0.9,0.25,0.08,96.73366834170854,64.57286432160804
94,Random Forest,0.9,0.3,0.08,96.98492462311557,67.08542713567839
95,Random Forest,0.9,0.4,0.08,97.48743718592965,71.35678391959799
96,Random Forest,0.9,0.1,0.1,96.73366834170854,56.53266331658291
97,Random Forest,0.9,0.15,0.1,96.73366834170854,62.814070351758794
98,Random Forest,0.9,0.2,0.1,95.97989949748744,60.552763819095475
99,Random Forest,0.9,0.25,0.1,97.23618090452261,66.08040201005025
100,Random Forest,0.9,0.3,0.1,96.98492462311557,67.8391959798995
101,Random Forest,0.9,0.4,0.1,97.23618090452261,71.85929648241206
102,Random Forest,0.9,0.1,0.15,95.97989949748744,55.778894472361806
103,Random Forest,0.9,0.15,0.15,96.73366834170854,62.06030150753769
104,Random Forest,0.9,0.2,0.15,97.73869346733669,65.82914572864321
105,Random Forest,0.9,0.25,0.15,97.73869346733669,67.8391959798995
106,Random Forest,0.9,0.3,0.15,96.98492462311557,68.84422110552764
107,Random Forest,0.9,0.4,0.15,97.73869346733669,73.11557788944724
108,Random Forest,0.95,0.1,0.01,97.73869346733669,64.321608040201
109,Random Forest,0.95,0.15,0.01,96.48241206030151,63.81909547738694
110,Random Forest,0.95,0.2,0.01,96.98492462311557,66.58291457286433
111,Random Forest,0.95,0.25,0.01,97.48743718592965,70.60301507537689
112,Random Forest,0.95,0.3,0.01,97.48743718592965,72.1105527638191
113,Random Forest,0.95,0.4,0.01,98.74371859296483,76.88442211055276
114,Random Forest,0.95,0.1,0.03,97.73869346733669,64.321608040201
115,Random Forest,0.95,0.15,0.03,97.73869346733669,67.33668341708542
116,Random Forest,0.95,0.2,0.03,97.73869346733669,69.84924623115577
117,Random Forest,0.95,0.25,0.03,97.98994974874371,72.61306532663316
118,Random Forest,0.95,0.3,0.03,98.24120603015075,73.86934673366834
119,Random Forest,0.95,0.4,0.03,99.2462311557789,78.89447236180905
120,Random Forest,0.95,0.1,0.05,98.24120603015075,67.8391959798995
121,Random Forest,0.95,0.15,0.05,97.98994974874371,69.09547738693468
122,Random Forest,0.95,0.2,0.05,97.73869346733669,70.10050251256281
123,Random Forest,0.95,0.25,0.05,98.49246231155779,74.12060301507537
124,Random Forest,0.95,0.3,0.05,98.74371859296483,75.87939698492463
125,Random Forest,0.95,0.4,0.05,98.99497487437186,78.64321608040201
126,Random Forest,0.95,0.1,0.08,97.98994974874371,66.83417085427136
127,Random Forest,0.95,0.15,0.08,98.24120603015075,71.35678391959799
128,Random Forest,0.95,0.2,0.08,98.24120603015075,71.10552763819095
129,Random Forest,0.95,0.25,0.08,98.74371859296483,74.62311557788945
130,Random Forest,0.95,0.3,0.08,98.74371859296483,76.63316582914572
131,Random Forest,0.95,0.4,0.08,99.2462311557789,79.39698492462311
