,model,threshold,split_1,split_2,accuracy,human effort
152,Decision Tree,0.99,0.2,0.03,88.67855842737532,19.985438660356753
153,Decision Tree,0.99,0.25,0.03,90.64433927921368,24.97269748816891
154,Decision Tree,0.99,0.3,0.03,90.09828904259192,29.996359665089187
155,Decision Tree,0.99,0.4,0.03,91.80924645067346,39.970877320713505
156,Decision Tree,0.99,0.1,0.05,88.60575172915908,9.974517655624318
157,Decision Tree,0.99,0.15,0.05,89.00618856934838,14.998179832544594
158,Decision Tree,0.99,0.2,0.05,88.46013833272661,19.985438660356753
159,Decision Tree,0.99,0.25,0.05,90.86275937386239,24.97269748816891
160,Decision Tree,0.99,0.3,0.05,90.17109574080816,29.996359665089187
161,Decision Tree,0.99,0.4,0.05,91.8820531488897,39.970877320713505
162,Decision Tree,0.99,0.1,0.08,88.89697852202403,9.974517655624318
163,Decision Tree,0.99,0.15,0.08,89.00618856934838,14.998179832544594
164,Decision Tree,0.99,0.2,0.08,88.6421550782672,19.985438660356753
165,Decision Tree,0.99,0.25,0.08,90.97196942118676,24.97269748816891
166,Decision Tree,0.99,0.3,0.08,90.31670913724062,29.996359665089187
167,Decision Tree,0.99,0.4,0.08,92.02766654532218,39.970877320713505
168,Decision Tree,0.99,0.1,0.1,88.16891153986167,9.974517655624318
169,Decision Tree,0.99,0.15,0.1,88.93338187113214,14.998179832544594
170,Decision Tree,0.99,0.2,0.1,88.82417182380779,19.985438660356753
171,Decision Tree,0.99,0.25,0.1,90.53512923188933,24.97269748816891
172,Decision Tree,0.99,0.3,0.1,90.42591918456498,29.996359665089187
173,Decision Tree,0.99,0.4,0.1,91.99126319621405,39.970877320713505
174,Decision Tree,0.99,0.1,0.15,89.29741536221333,9.974517655624318
175,Decision Tree,0.99,0.15,0.15,89.18820531488898,14.998179832544594
176,Decision Tree,0.99,0.2,0.15,88.6421550782672,19.985438660356753
177,Decision Tree,0.99,0.25,0.15,90.60793593010557,24.97269748816891
178,Decision Tree,0.99,0.3,0.15,90.31670913724062,29.996359665089187
179,Decision Tree,0.99,0.4,0.15,91.95485984710594,39.970877320713505
