,model,threshold,split_1,split_2,accuracy,human effort
28,SVM,0.8,0.3,0.1,96.86931197670185,38.587550054605025
29,SVM,0.8,0.4,0.1,97.26974881689115,46.851110302147795
30,SVM,0.8,0.1,0.15,96.65089188205314,24.317437204222788
31,SVM,0.8,0.15,0.15,96.46887513651257,26.501638150709866
32,SVM,0.8,0.2,0.15,96.65089188205314,29.95995631598107
33,SVM,0.8,0.25,0.15,96.57808518383692,33.818711321441576
34,SVM,0.8,0.3,0.15,97.1605387695668,39.02439024390244
35,SVM,0.8,0.4,0.15,97.19694211867491,46.77830360393156
36,SVM,0.85,0.1,0.01,96.72369858026939,23.18893338187113
37,SVM,0.85,0.15,0.01,96.50527848562068,25.991991263196216
38,SVM,0.85,0.2,0.01,97.01492537313433,30.97925009100837
39,SVM,0.85,0.25,0.01,97.08773207135056,34.838005096468876
40,SVM,0.85,0.3,0.01,97.23334546778304,38.878776847469965
41,SVM,0.85,0.4,0.01,97.5609756097561,47.4699672369858
42,SVM,0.85,0.1,0.03,97.08773207135056,24.681470695303968
43,SVM,0.85,0.15,0.03,96.72369858026939,26.902074990899163
44,SVM,0.85,0.2,0.03,97.23334546778304,31.452493629413905
45,SVM,0.85,0.25,0.03,97.34255551510739,35.67528212595559
46,SVM,0.85,0.3,0.03,97.34255551510739,39.679650527848565
47,SVM,0.85,0.4,0.03,97.74299235529669,47.651983982526396
48,SVM,0.85,0.1,0.05,96.9785220240262,24.390243902439025
49,SVM,0.85,0.15,0.05,96.86931197670185,27.630141973061523
50,SVM,0.85,0.2,0.05,97.3789588642155,32.28977065890062
51,SVM,0.85,0.25,0.05,97.3789588642155,36.29413906079359
52,SVM,0.85,0.3,0.05,97.52457226064799,40.40771751001092
53,SVM,0.85,0.4,0.05,97.70658900618857,48.12522752093192
54,SVM,0.85,0.1,0.08,97.12413542045869,25.518747724790682
55,SVM,0.85,0.15,0.08,97.01492537313433,28.685839097196943
56,SVM,0.85,0.2,0.08,97.45176556243175,32.54459410265744
57,SVM,0.85,0.25,0.08,97.3789588642155,36.18492901346924
58,SVM,0.85,0.3,0.08,97.5609756097561,40.48052420822716
59,SVM,0.85,0.4,0.08,97.92500910083727,48.598471059337456
60,SVM,0.85,0.1,0.1,97.1605387695668,25.627957772115035
61,SVM,0.85,0.15,0.1,97.08773207135056,28.977065890061887
62,SVM,0.85,0.2,0.1,97.5609756097561,33.090644339279216
63,SVM,0.85,0.25,0.1,97.52457226064799,36.65817255187477
64,SVM,0.85,0.3,0.1,97.63378230797234,40.91736439752457
65,SVM,0.85,0.4,0.1,97.81579905351292,48.41645431379687
66,SVM,0.85,0.1,0.15,97.3789588642155,27.084091736439753
67,SVM,0.85,0.15,0.15,97.08773207135056,29.850746268656717
68,SVM,0.85,0.2,0.15,97.63378230797234,33.49108117946851
69,SVM,0.85,0.25,0.15,97.45176556243175,36.94939934473972
70,SVM,0.85,0.3,0.15,97.70658900618857,41.31780123771387
71,SVM,0.85,0.4,0.15,97.92500910083727,48.707681106661816
72,SVM,0.9,0.1,0.01,97.85220240262105,29.559519475791774
73,SVM,0.9,0.15,0.01,97.5609756097561,31.634510374954495
74,SVM,0.9,0.2,0.01,98.07062249726975,36.87659264652348
75,SVM,0.9,0.25,0.01,97.9614124499454,39.679650527848565
76,SVM,0.9,0.3,0.01,98.07062249726975,43.392792136876594
77,SVM,0.9,0.4,0.01,98.28904259191846,50.964688751365124
78,SVM,0.9,0.1,0.03,97.88860575172916,30.97925009100837
79,SVM,0.9,0.15,0.03,97.67018565708045,32.21696396068438
80,SVM,0.9,0.2,0.03,98.21623589370222,37.67746632690208
81,SVM,0.9,0.25,0.03,98.07062249726975,40.48052420822716
82,SVM,0.9,0.3,0.03,98.1798325445941,43.90243902439025
83,SVM,0.9,0.4,0.03,98.32544594102657,51.21951219512195
84,SVM,0.9,0.1,0.05,97.85220240262105,31.598107025846378
85,SVM,0.9,0.15,0.05,97.70658900618857,32.690207499089915
86,SVM,0.9,0.2,0.05,98.25263924281033,38.187113214415724
87,SVM,0.9,0.25,0.05,98.14342919548598,40.7717510010921
88,SVM,0.9,0.3,0.05,98.14342919548598,44.0116490717146
89,SVM,0.9,0.4,0.05,98.54386603567528,52.020385875500544
90,SVM,0.9,0.1,0.08,97.85220240262105,31.56170367673826
91,SVM,0.9,0.15,0.08,97.85220240262105,34.21914816163087
92,SVM,0.9,0.2,0.08,98.25263924281033,38.07790316709137
93,SVM,0.9,0.25,0.08,98.21623589370222,41.57262468147069
94,SVM,0.9,0.3,0.08,98.28904259191846,44.6305060065526
95,SVM,0.9,0.4,0.08,98.54386603567528,52.056789224608664
96,SVM,0.9,0.1,0.1,98.10702584637787,33.19985438660357
97,SVM,0.9,0.15,0.1,97.85220240262105,34.00072806698216
98,SVM,0.9,0.2,0.1,98.25263924281033,38.80597014925373
99,SVM,0.9,0.25,0.1,98.25263924281033,41.60902803057881
100,SVM,0.9,0.3,0.1,98.25263924281033,44.412085911903894
101,SVM,0.9,0.4,0.1,98.5802693847834,52.1295959228249
102,SVM,0.9,0.1,0.15,97.99781579905351,33.709501274117216
103,SVM,0.9,0.15,0.15,97.9614124499454,35.85729887149618
104,SVM,0.9,0.2,0.15,98.39825263924281,39.38842373498362
105,SVM,0.9,0.25,0.15,98.28904259191846,42.00946487076811
