,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
31,SVM,0.8,0.15,0.15,96.34116192830655,96.20676831535887,98.2529434105583,23.757725587144623
32,SVM,0.8,0.2,0.15,96.95920889987639,96.9334330590875,98.4428408659324,28.800988875154513
33,SVM,0.8,0.25,0.15,97.35475896168109,97.1268656716418,98.8606152677554,33.399258343634116
34,SVM,0.8,0.3,0.15,97.52781211372064,97.34579439252336,98.89859475883023,37.72558714462299
35,SVM,0.8,0.4,0.15,97.7008652657602,97.56554307116104,98.93657424990505,46.427688504326326
36,SVM,0.85,0.1,0.01,96.66254635352287,96.53502235469449,98.40486137485757,19.72805933250927
37,SVM,0.85,0.15,0.01,96.66254635352287,96.5697240865026,98.36688188378275,23.930778739184177
38,SVM,0.85,0.2,0.01,97.10754017305315,97.01046337817638,98.59475883023167,28.751545117428925
39,SVM,0.85,0.25,0.01,97.47836835599506,97.45031871016123,98.70869730345613,33.64647713226205
40,SVM,0.85,0.3,0.01,97.67614338689741,97.60029996250469,98.8606152677554,38.0964153275649
41,SVM,0.85,0.4,0.01,98.02224969097651,98.07909604519774,98.89859475883023,46.9221260815822
42,SVM,0.85,0.1,0.03,96.86032138442522,96.8236173393124,98.40486137485757,21.087762669962917
43,SVM,0.85,0.15,0.03,96.81087762669964,96.7513069454817,98.40486137485757,24.64771322620519
44,SVM,0.85,0.2,0.03,97.20642768850432,97.08520179372198,98.67071781238131,29.27070457354759
45,SVM,0.85,0.25,0.03,97.62669962917181,97.56280464941882,98.8226357766806,34.38813349814586
46,SVM,0.85,0.3,0.03,97.87391841779976,97.78611632270169,98.97455374097987,38.96168108776267
47,SVM,0.85,0.4,0.03,98.12113720642769,98.118178396688,99.0125332320547,47.58961681087763
48,SVM,0.85,0.1,0.05,96.73671199011125,96.67786487495334,98.36688188378275,21.409147095179232
49,SVM,0.85,0.15,0.05,96.95920889987639,96.86333084391337,98.51879984808204,25.636588380716933
50,SVM,0.85,0.2,0.05,97.23114956736713,97.1214953271028,98.67071781238131,29.839307787391842
51,SVM,0.85,0.25,0.05,97.72558714462299,97.56645451141894,98.97455374097987,35.03090234857849
52,SVM,0.85,0.3,0.05,97.89864029666255,97.75112443778112,99.05051272312951,39.2336217552534
53,SVM,0.85,0.4,0.05,98.22002472187886,98.19345126082048,99.08849221420434,48.084054388133495
54,SVM,0.85,0.1,0.08,97.05809641532757,96.86800894854586,98.67071781238131,22.991347342398022
55,SVM,0.85,0.15,0.08,96.88504326328801,96.75494218575159,98.51879984808204,25.512978986402967
56,SVM,0.85,0.2,0.08,97.3053152039555,97.19521316379955,98.70869730345613,30.11124845488257
57,SVM,0.85,0.25,0.08,97.77503090234858,97.67529058867642,98.93657424990505,35.62422744128554
58,SVM,0.85,0.3,0.08,97.92336217552534,97.82363977485929,99.0125332320547,39.62917181705809
59,SVM,0.85,0.4,0.08,98.26946847960446,98.23108769288672,99.12647170527914,48.30655129789864
60,SVM,0.85,0.1,0.1,97.03337453646478,96.8668407310705,98.63273832130649,22.867737948084056
61,SVM,0.85,0.15,0.1,97.08281829419036,96.8342644320298,98.74667679453096,26.823238566131025
62,SVM,0.85,0.2,0.1,97.3300370828183,97.26694122051666,98.67071781238131,30.704573547589618
63,SVM,0.85,0.25,0.1,97.82447466007416,97.74859287054409,98.93657424990505,36.19283065512979
64,SVM,0.85,0.3,0.1,98.04697156983931,97.89947486871718,99.12647170527914,40.049443757725584
65,SVM,0.85,0.4,0.1,98.31891223733004,98.2324182023317,99.20243068742879,48.553770086526576
66,SVM,0.85,0.1,0.15,97.25587144622992,96.98211624441133,98.8606152677554,25.11742892459827
67,SVM,0.85,0.15,0.15,97.15698393077874,96.83779761904762,98.8606152677554,27.021013597033374
68,SVM,0.85,0.2,0.15,97.42892459826948,97.3063973063973,98.78465628560578,31.025957972805934
69,SVM,0.85,0.25,0.15,97.99752781211372,97.86196549137284,99.08849221420434,36.934487021013595
