,model,threshold,split_1,split_2,accuracy,precision,recall,human effort
102,Decision Tree,0.9,0.1,0.15,87.63906057,89.33972704,91.98632738,9.987639061
103,Decision Tree,0.9,0.15,0.15,89.9381953,91.1308204,93.65742499,14.98145859
104,Decision Tree,0.9,0.2,0.15,89.76514215,91.53874953,92.85985568,20
105,Decision Tree,0.9,0.25,0.15,90.45735476,92.09441738,93.35358906,24.99381953
106,Decision Tree,0.9,0.3,0.15,90.85290482,93.40237821,92.48006077,29.98763906
107,Decision Tree,0.9,0.4,0.15,93.12731768,94.35028249,95.13862514,40
108,Decision Tree,0.95,0.1,0.01,87.61433869,89.3648449,91.9103684,9.987639061
109,Decision Tree,0.95,0.15,0.01,89.78986403,91.32539092,93.16369161,14.98145859
110,Decision Tree,0.95,0.2,0.01,89.22126082,91.72047095,91.72047095,20
111,Decision Tree,0.95,0.25,0.01,90.16069221,92.15390419,92.7838967,24.99381953
112,Decision Tree,0.95,0.3,0.01,90.60568603,92.97977871,92.55601975,29.98763906
113,Decision Tree,0.95,0.4,0.01,93.07787392,94.3126177,95.10064565,40
114,Decision Tree,0.95,0.1,0.03,87.91100124,90.45283019,91.03684011,9.987639061
115,Decision Tree,0.95,0.15,0.03,89.9381953,91.34472511,93.39156855,14.98145859
116,Decision Tree,0.95,0.2,0.03,89.86402967,92.05448354,92.40410179,20
117,Decision Tree,0.95,0.25,0.03,90.77873918,92.60935143,93.27763008,24.99381953
118,Decision Tree,0.95,0.3,0.03,90.16069221,92.21760484,92.70793771,29.98763906
119,Decision Tree,0.95,0.4,0.03,92.80593325,94.25547997,94.72085074,40
120,Decision Tree,0.95,0.1,0.05,87.88627936,89.87718645,91.72047095,9.987639061
121,Decision Tree,0.95,0.15,0.05,89.592089,91.3303438,92.82187619,14.98145859
122,Decision Tree,0.95,0.2,0.05,89.86402967,92.24629418,92.17622484,20
123,Decision Tree,0.95,0.25,0.05,90.80346106,92.6121372,93.31560957,24.99381953
124,Decision Tree,0.95,0.3,0.05,90.38318912,92.53222138,92.70793771,29.98763906
125,Decision Tree,0.95,0.4,0.05,92.78121137,94.1198643,94.83478921,40
126,Decision Tree,0.95,0.1,0.08,87.44128554,89.16328787,91.87238891,9.987639061
127,Decision Tree,0.95,0.15,0.08,89.81458591,91.45203434,93.04975313,14.98145859
128,Decision Tree,0.95,0.2,0.08,89.17181706,91.90530737,91.41663502,20
129,Decision Tree,0.95,0.25,0.08,90.23485785,92.29024943,92.7459172,24.99381953
130,Decision Tree,0.95,0.3,0.08,90.67985167,93.2183908,92.40410179,29.98763906
131,Decision Tree,0.95,0.4,0.08,92.6328801,94.30740038,94.37903532,40
132,Decision Tree,0.95,0.1,0.1,87.71322621,89.43870015,91.98632738,9.987639061
133,Decision Tree,0.95,0.15,0.1,89.51792336,91.13594041,92.93581466,14.98145859
134,Decision Tree,0.95,0.2,0.1,89.41903585,92,91.72047095,20
135,Decision Tree,0.95,0.25,0.1,90.407911,92.63197873,92.63197873,24.99381953
136,Decision Tree,0.95,0.3,0.1,90.28430161,92.87901991,92.13824535,29.98763906
137,Decision Tree,0.95,0.4,0.1,92.80593325,94.08885542,94.9107482,40
138,Decision Tree,0.95,0.1,0.15,87.29295426,89.25527973,91.492594,9.987639061
139,Decision Tree,0.95,0.15,0.15,89.51792336,91.22807018,92.82187619,14.98145859
140,Decision Tree,0.95,0.2,0.15,89.76514215,92.07432689,92.21420433,20
141,Decision Tree,0.95,0.25,0.15,90.75401731,92.76789095,93.04975313,24.99381953
142,Decision Tree,0.95,0.3,0.15,90.70457355,93.08896525,92.59399924,29.98763906
143,Decision Tree,0.95,0.4,0.15,92.80593325,94.12207988,94.8727687,40
144,Decision Tree,0.99,0.1,0.01,87.96044499,89.36170213,92.51804026,9.987639061
145,Decision Tree,0.99,0.15,0.01,89.71569839,90.70877708,93.80934295,14.98145859
146,Decision Tree,0.99,0.2,0.01,89.74042027,92.29595728,91.9103684,20
147,Decision Tree,0.99,0.25,0.01,90.5315204,92.38884702,93.12571212,24.99381953
