model,threshold,split_1,split_2,accuracy,precision,recall,human effort,classifier,dt_label_99_60,dt_label_96_40
Decision Tree,0.99,0.25,0.15,90.97651422,92.66365688,93.54348652,24.99381953,1,0,0
Decision Tree,0.99,0.3,0.15,90.33374536,92.59118541,92.55601975,29.98763906,1,0,0
Decision Tree,0.99,0.4,0.15,92.92954265,94.23294384,94.94872769,40,1,0,0
Logistic Regression,0.8,0.1,0.01,94.41285538,94.26259654,97.34143562,34.09147095,2,0,0
Logistic Regression,0.8,0.15,0.01,94.48702101,93.9460248,97.83516901,37.52781211,2,0,0
Logistic Regression,0.8,0.2,0.01,94.70951792,94.28780666,97.79718952,40.71693449,2,0,0
Logistic Regression,0.8,0.25,0.01,95.5500618,95.34195933,97.94910748,46.4276885,2,0,0
Logistic Regression,0.8,0.3,0.01,95.52533993,95.00734214,98.2909229,48.99876391,2,0,0
Logistic Regression,0.8,0.4,0.01,95.92088999,95.56868538,98.2909229,55.82200247,2,0,0
Logistic Regression,0.8,0.1,0.03,95.22867738,95.05169867,97.75921003,36.81087763,2,0,0
Logistic Regression,0.8,0.15,0.03,94.88257108,94.43223443,97.91112799,38.66501854,2,0,0
Logistic Regression,0.8,0.2,0.03,94.88257108,94.53010279,97.79718952,41.77997528,2,0,0
Logistic Regression,0.8,0.25,0.03,95.99505562,95.67467652,98.2909229,48.08405439,2,0,0
Logistic Regression,0.8,0.3,0.03,96.06922126,95.74704142,98.32890239,50.38318912,2,0,0
Logistic Regression,0.8,0.4,0.03,96.1433869,95.78558226,98.40486137,56.46477132,2,0,0
Logistic Regression,0.8,0.1,0.05,95.2039555,95.0831793,97.68325104,36.86032138,2,0,0
Logistic Regression,0.8,0.15,0.05,95.03090235,94.60748349,97.94910748,39.48084054,2,0,0
Logistic Regression,0.8,0.2,0.05,95.10506799,94.71171502,97.94910748,43.06551298,2,0,0
Logistic Regression,0.8,0.25,0.05,96.29171817,95.82871908,98.59475883,48.70210136,2,0,0
Logistic Regression,0.8,0.3,0.05,96.06922126,95.57848195,98.51879985,51.29789864,2,0,0
Logistic Regression,0.8,0.4,0.05,96.21755253,95.8240946,98.48082036,57.13226205,2,0,0
Logistic Regression,0.8,0.1,0.08,95.40173053,95.2310536,97.83516901,37.52781211,2,0,0
