model,config,human effort,small accuracy,precision,recall
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.876747141,0.871724138,0.993710692
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.865311309,0.861878453,0.99047619
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.864040661,0.86407767,0.985759494
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.879288437,0.872928177,0.995275591
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.852604828,0.85,0.987096774
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.875476493,0.874476987,0.987401575
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.878017789,0.872727273,0.992050874
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.878017789,0.87534626,0.990595611
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.858958069,0.85615491,0.988817891
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.869123253,0.868055556,0.987361769
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.847586791,0.84733514,0.988408851
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.848433531,0.842010772,0.996811902
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.855207451,0.85494107,0.988469602
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.861134632,0.85753176,0.992647059
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.864521592,0.861721612,0.990526316
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.848433531,0.844364937,0.994731296
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.83742591,0.837209302,0.989429175
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.83657917,0.832446809,0.995758218
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.849280271,0.859665428,0.971638655
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.853513971,0.863216266,0.973931178
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.854360711,0.84950136,0.993637328
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.858594412,0.856498195,0.991640543
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.854360711,0.865168539,0.970588235
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.845893311,0.846570397,0.987368421
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.856054191,0.867413632,0.970741902
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.849280271,0.84958979,0.986243386
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.850127011,0.853636364,0.983246073
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.853513971,0.868470149,0.966770509
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.877222693,0.881860465,0.98136646
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.849280271,0.845184518,0.993650794
