,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
107,SVM,0.9,0.4,0.15,99.34469201,97.77777778,98.50746269,88.33551769,SVM
108,SVM,0.95,0.1,0.01,99.7378768,98.52941176,100,94.23328965,SVM
109,SVM,0.95,0.15,0.01,99.7378768,98.52941176,100,99.21363041,SVM
110,SVM,0.95,0.2,0.01,99.7378768,98.52941176,100,99.08256881,SVM
111,SVM,0.95,0.25,0.01,99.6068152,97.81021898,100,98.82044561,SVM
112,SVM,0.95,0.3,0.01,99.8689384,99.25925926,100,99.34469201,SVM
113,SVM,0.95,0.4,0.01,99.8689384,99.25925926,100,99.4757536,SVM
114,SVM,0.95,0.1,0.03,99.8689384,99.25925926,100,98.68938401,SVM
115,SVM,0.95,0.15,0.03,99.8689384,99.25925926,100,99.4757536,SVM
116,SVM,0.95,0.2,0.03,99.8689384,99.25925926,100,99.4757536,SVM
117,SVM,0.95,0.25,0.03,99.7378768,98.52941176,100,99.34469201,SVM
118,SVM,0.95,0.3,0.03,99.8689384,99.25925926,100,99.34469201,SVM
119,SVM,0.95,0.4,0.03,99.8689384,99.25925926,100,99.34469201,SVM
120,SVM,0.95,0.1,0.05,99.8689384,99.25925926,100,93.05373526,SVM
121,SVM,0.95,0.15,0.05,99.8689384,99.25925926,100,99.34469201,SVM
122,SVM,0.95,0.2,0.05,99.8689384,99.25925926,100,99.34469201,SVM
123,SVM,0.95,0.25,0.05,99.34469201,97.77777778,98.50746269,98.68938401,SVM
124,SVM,0.95,0.3,0.05,99.7378768,98.52941176,100,99.34469201,SVM
125,SVM,0.95,0.4,0.05,99.8689384,99.25925926,100,99.6068152,SVM
126,SVM,0.95,0.1,0.08,99.8689384,99.25925926,100,99.6068152,SVM
127,SVM,0.95,0.15,0.08,99.8689384,99.25925926,100,99.6068152,SVM
128,SVM,0.95,0.2,0.08,99.8689384,99.25925926,100,99.6068152,SVM
129,SVM,0.95,0.25,0.08,99.8689384,99.25925926,100,99.34469201,SVM
130,SVM,0.95,0.3,0.08,99.8689384,99.25925926,100,99.4757536,SVM
131,SVM,0.95,0.4,0.08,99.6068152,97.81021898,100,98.95150721,SVM
132,SVM,0.95,0.1,0.1,100,100,100,98.82044561,SVM
133,SVM,0.95,0.15,0.1,99.8689384,99.25925926,100,99.6068152,SVM
134,SVM,0.95,0.2,0.1,99.8689384,99.25925926,100,99.4757536,SVM
135,SVM,0.95,0.25,0.1,99.7378768,98.52941176,100,99.21363041,SVM
