,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
70,Random Forest,0.85,0.3,0.15,97.90145985,98.30268741,98.44192635,44.79927007,Random Forest
81,Random Forest,0.9,0.25,0.03,97.90145985,98.30268741,98.44192635,42.15328467,Random Forest
82,Random Forest,0.9,0.3,0.03,97.90145985,98.43971631,98.30028329,45.89416058,Random Forest
114,Random Forest,0.95,0.1,0.03,97.90145985,98.57752489,98.15864023,36.40510949,Random Forest
115,Random Forest,0.95,0.15,0.03,97.90145985,98.30268741,98.44192635,38.22992701,Random Forest
121,Random Forest,0.95,0.15,0.05,97.90145985,98.43971631,98.30028329,39.7810219,Random Forest
77,Random Forest,0.9,0.4,0.01,97.99270073,98.44192635,98.44192635,51.91605839,Random Forest
86,Random Forest,0.9,0.2,0.05,97.99270073,98.30508475,98.58356941,38.22992701,Random Forest
94,Random Forest,0.9,0.3,0.08,97.99270073,98.44192635,98.44192635,47.3540146,Random Forest
99,Random Forest,0.9,0.25,0.1,97.99270073,98.30508475,98.58356941,44.34306569,Random Forest
80,Random Forest,0.9,0.2,0.03,98.08394161,98.30747532,98.72521246,38.13868613,Random Forest
83,Random Forest,0.9,0.4,0.03,98.08394161,98.44413013,98.58356941,53.37591241,Random Forest
88,Random Forest,0.9,0.3,0.05,98.08394161,98.58156028,98.44192635,47.26277372,Random Forest
89,Random Forest,0.9,0.4,0.05,98.08394161,98.44413013,98.58356941,54.01459854,Random Forest
92,Random Forest,0.9,0.2,0.08,98.08394161,98.58156028,98.44192635,39.96350365,Random Forest
93,Random Forest,0.9,0.25,0.08,98.08394161,98.58156028,98.44192635,43.61313869,Random Forest
98,Random Forest,0.9,0.2,0.1,98.17518248,98.44632768,98.72521246,39.7810219,Random Forest
101,Random Forest,0.9,0.4,0.1,98.17518248,98.72159091,98.44192635,55.2919708,Random Forest
127,Random Forest,0.95,0.15,0.08,98.17518248,98.72159091,98.44192635,42.0620438,Random Forest
139,Random Forest,0.95,0.15,0.15,98.17518248,98.86039886,98.30028329,44.25182482,Random Forest
95,Random Forest,0.9,0.4,0.08,98.26642336,98.72340426,98.58356941,55.20072993,Random Forest
100,Random Forest,0.9,0.3,0.1,98.26642336,98.44851904,98.86685552,48.35766423,Random Forest
108,Random Forest,0.95,0.1,0.01,98.26642336,98.86201991,98.44192635,34.12408759,Random Forest
112,Random Forest,0.95,0.3,0.01,98.26642336,98.58557284,98.72521246,49.27007299,Random Forest
105,Random Forest,0.9,0.25,0.15,98.35766423,98.72521246,98.72521246,45.52919708,Random Forest
106,Random Forest,0.9,0.3,0.15,98.35766423,98.58757062,98.86685552,49.27007299,Random Forest
107,Random Forest,0.9,0.4,0.15,98.35766423,98.72521246,98.72521246,56.29562044,Random Forest
118,Random Forest,0.95,0.3,0.03,98.35766423,98.86363636,98.58356941,51.45985401,Random Forest
120,Random Forest,0.95,0.1,0.05,98.35766423,99.14285714,98.30028329,39.32481752,Random Forest
126,Random Forest,0.95,0.1,0.08,98.35766423,99.002849,98.44192635,40.51094891,Random Forest
111,Random Forest,0.95,0.25,0.01,98.44890511,98.72701556,98.86685552,47.53649635,Random Forest
116,Random Forest,0.95,0.2,0.03,98.44890511,98.58956276,99.00849858,44.98175182,Random Forest
122,Random Forest,0.95,0.2,0.05,98.44890511,98.58956276,99.00849858,46.44160584,Random Forest
132,Random Forest,0.95,0.1,0.1,98.44890511,98.86524823,98.72521246,41.14963504,Random Forest
133,Random Forest,0.95,0.15,0.1,98.44890511,98.86524823,98.72521246,44.34306569,Random Forest
110,Random Forest,0.95,0.2,0.01,98.54014599,98.5915493,99.15014164,44.06934307,Random Forest
117,Random Forest,0.95,0.25,0.03,98.54014599,98.72881356,99.00849858,48.72262774,Random Forest
104,Random Forest,0.9,0.2,0.15,98.63138686,98.86845827,99.00849858,42.24452555,Random Forest
113,Random Forest,0.95,0.4,0.01,98.63138686,98.59353024,99.2917847,57.75547445,Random Forest
124,Random Forest,0.95,0.3,0.05,98.63138686,98.86845827,99.00849858,52.73722628,Random Forest
134,Random Forest,0.95,0.2,0.1,98.63138686,98.86845827,99.00849858,47.90145985,Random Forest
140,Random Forest,0.95,0.2,0.15,98.63138686,98.86845827,99.00849858,50.09124088,Random Forest
123,Random Forest,0.95,0.25,0.05,98.72262774,99.00849858,99.00849858,50.45620438,Random Forest
128,Random Forest,0.95,0.2,0.08,98.72262774,98.8700565,99.15014164,47.99270073,Random Forest
129,Random Forest,0.95,0.25,0.08,98.72262774,99.00849858,99.00849858,50.82116788,Random Forest
130,Random Forest,0.95,0.3,0.08,98.72262774,99.00849858,99.00849858,53.55839416,Random Forest
136,Random Forest,0.95,0.3,0.1,98.72262774,99.00849858,99.00849858,54.01459854,Random Forest
138,Random Forest,0.95,0.1,0.15,98.72262774,99.42857143,98.58356941,44.61678832,Random Forest
142,Random Forest,0.95,0.3,0.15,98.72262774,99.00849858,99.00849858,55.74817518,Random Forest
119,Random Forest,0.95,0.4,0.03,98.81386861,99.00990099,99.15014164,59.30656934,Random Forest
135,Random Forest,0.95,0.25,0.1,98.81386861,99.00990099,99.15014164,52.09854015,Random Forest
125,Random Forest,0.95,0.4,0.05,98.90510949,99.01129944,99.2917847,60.58394161,Random Forest
131,Random Forest,0.95,0.4,0.08,98.90510949,99.01129944,99.2917847,61.13138686,Random Forest
137,Random Forest,0.95,0.4,0.1,98.90510949,99.01129944,99.2917847,62.04379562,Random Forest
143,Random Forest,0.95,0.4,0.15,98.90510949,99.01129944,99.2917847,62.31751825,Random Forest
144,Random Forest,0.99,0.1,0.01,98.99635036,99.57203994,98.86685552,52.00729927,Random Forest
141,Random Forest,0.95,0.25,0.15,99.08759124,99.2917847,99.2917847,53.10218978,Random Forest
148,Random Forest,0.99,0.3,0.01,99.08759124,99.2917847,99.2917847,63.04744526,Random Forest
150,Random Forest,0.99,0.1,0.03,99.17883212,99.7146933,99.00849858,55.93065693,Random Forest
159,Random Forest,0.99,0.25,0.05,99.17883212,99.29278642,99.43342776,65.32846715,Random Forest
145,Random Forest,0.99,0.15,0.01,99.27007299,99.43342776,99.43342776,55.93065693,Random Forest
147,Random Forest,0.99,0.25,0.01,99.27007299,99.43342776,99.43342776,61.22262774,Random Forest
151,Random Forest,0.99,0.15,0.03,99.27007299,99.43342776,99.43342776,58.94160584,Random Forest
152,Random Forest,0.99,0.2,0.03,99.27007299,99.57386364,99.2917847,61.22262774,Random Forest
158,Random Forest,0.99,0.2,0.05,99.27007299,99.43342776,99.43342776,62.40875912,Random Forest
171,Random Forest,0.99,0.25,0.1,99.27007299,99.29378531,99.57507082,66.69708029,Random Forest
153,Random Forest,0.99,0.25,0.03,99.36131387,99.57446809,99.43342776,64.32481752,Random Forest
156,Random Forest,0.99,0.1,0.05,99.36131387,99.71550498,99.2917847,58.02919708,Random Forest
157,Random Forest,0.99,0.15,0.05,99.36131387,99.57446809,99.43342776,61.04014599,Random Forest
146,Random Forest,0.99,0.2,0.01,99.45255474,99.71590909,99.43342776,58.02919708,Random Forest
149,Random Forest,0.99,0.4,0.01,99.45255474,99.43502825,99.71671388,70.34671533,Random Forest
154,Random Forest,0.99,0.3,0.03,99.45255474,99.57507082,99.57507082,67.24452555,Random Forest
160,Random Forest,0.99,0.3,0.05,99.45255474,99.57507082,99.57507082,68.15693431,Random Forest
162,Random Forest,0.99,0.1,0.08,99.45255474,100,99.15014164,61.40510949,Random Forest
168,Random Forest,0.99,0.1,0.1,99.45255474,99.85754986,99.2917847,61.86131387,Random Forest
173,Random Forest,0.99,0.4,0.1,99.45255474,99.43502825,99.71671388,75.45620438,Random Forest
155,Random Forest,0.99,0.4,0.03,99.54379562,99.43582511,99.85835694,72.44525547,Random Forest
163,Random Forest,0.99,0.15,0.08,99.54379562,99.71631206,99.57507082,62.8649635,Random Forest
164,Random Forest,0.99,0.2,0.08,99.54379562,99.57567185,99.71671388,65.60218978,Random Forest
165,Random Forest,0.99,0.25,0.08,99.54379562,99.71631206,99.57507082,67.51824818,Random Forest
169,Random Forest,0.99,0.15,0.1,99.54379562,99.71631206,99.57507082,64.32481752,Random Forest
170,Random Forest,0.99,0.2,0.1,99.54379562,99.71631206,99.57507082,66.14963504,Random Forest
177,Random Forest,0.99,0.25,0.15,99.54379562,99.71631206,99.57507082,69.16058394,Random Forest
161,Random Forest,0.99,0.4,0.05,99.6350365,99.57627119,99.85835694,73.99635036,Random Forest
166,Random Forest,0.99,0.3,0.08,99.6350365,99.71671388,99.71671388,69.34306569,Random Forest
174,Random Forest,0.99,0.1,0.15,99.6350365,99.85795455,99.57507082,64.14233577,Random Forest
175,Random Forest,0.99,0.15,0.15,99.6350365,99.71671388,99.71671388,66.33211679,Random Forest
179,Random Forest,0.99,0.4,0.15,99.6350365,99.57627119,99.85835694,78.19343066,Random Forest
167,Random Forest,0.99,0.4,0.08,99.72627737,99.71711457,99.85835694,76.00364964,Random Forest
172,Random Forest,0.99,0.3,0.1,99.72627737,99.85815603,99.71671388,69.98175182,Random Forest
176,Random Forest,0.99,0.2,0.15,99.72627737,99.85815603,99.71671388,68.97810219,Random Forest
178,Random Forest,0.99,0.3,0.15,99.72627737,99.85815603,99.71671388,71.53284672,Random Forest
