,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,name
109,SVM,0.95,0.15,0.01,98.26642336,98.44851904,98.86685552,45.71167883,SVM
108,SVM,0.95,0.1,0.01,98.54014599,98.86685552,98.86685552,54.83576642,SVM
114,SVM,0.95,0.1,0.03,98.54014599,98.86685552,98.86685552,54.37956204,SVM
115,SVM,0.95,0.15,0.03,98.54014599,98.86685552,98.86685552,51.64233577,SVM
118,SVM,0.95,0.3,0.03,98.54014599,98.72881356,99.00849858,69.25182482,SVM
127,SVM,0.95,0.15,0.08,98.54014599,98.86685552,98.86685552,58.39416058,SVM
133,SVM,0.95,0.15,0.1,98.54014599,98.86685552,98.86685552,60.58394161,SVM
112,SVM,0.95,0.3,0.01,98.63138686,98.86845827,99.00849858,66.87956204,SVM
113,SVM,0.95,0.4,0.01,98.63138686,98.73060649,99.15014164,71.35036496,SVM
119,SVM,0.95,0.4,0.03,98.63138686,98.73060649,99.15014164,72.99270073,SVM
120,SVM,0.95,0.1,0.05,98.63138686,98.86845827,99.00849858,66.87956204,SVM
139,SVM,0.95,0.15,0.15,98.72262774,99.14772727,98.86685552,62.95620438,SVM
111,SVM,0.95,0.25,0.01,98.81386861,99.14893617,99.00849858,66.51459854,SVM
126,SVM,0.95,0.1,0.08,98.81386861,99.14893617,99.00849858,65.23722628,SVM
137,SVM,0.95,0.4,0.1,98.81386861,99.00990099,99.15014164,74.6350365,SVM
121,SVM,0.95,0.15,0.05,98.90510949,99.28977273,99.00849858,59.21532847,SVM
125,SVM,0.95,0.4,0.05,98.90510949,99.15014164,99.15014164,73.90510949,SVM
132,SVM,0.95,0.1,0.1,98.90510949,99.28977273,99.00849858,65.32846715,SVM
136,SVM,0.95,0.3,0.1,98.90510949,99.28977273,99.00849858,69.34306569,SVM
142,SVM,0.95,0.3,0.15,98.90510949,99.28977273,99.00849858,70.71167883,SVM
116,SVM,0.95,0.2,0.03,98.99635036,99.43100996,99.00849858,65.60218978,SVM
131,SVM,0.95,0.4,0.08,98.99635036,99.29078014,99.15014164,76.73357664,SVM
138,SVM,0.95,0.1,0.15,98.99635036,99.15134371,99.2917847,63.77737226,SVM
117,SVM,0.95,0.25,0.03,99.08759124,99.57264957,99.00849858,65.96715328,SVM
122,SVM,0.95,0.2,0.05,99.08759124,99.57264957,99.00849858,63.32116788,SVM
123,SVM,0.95,0.25,0.05,99.08759124,99.57264957,99.00849858,65.05474453,SVM
124,SVM,0.95,0.3,0.05,99.08759124,99.57264957,99.00849858,69.79927007,SVM
130,SVM,0.95,0.3,0.08,99.08759124,99.57264957,99.00849858,68.24817518,SVM
143,SVM,0.95,0.4,0.15,99.08759124,99.2917847,99.2917847,75.45620438,SVM
110,SVM,0.95,0.2,0.01,99.17883212,99.7146933,99.00849858,60.58394161,SVM
129,SVM,0.95,0.25,0.08,99.17883212,99.7146933,99.00849858,64.87226277,SVM
134,SVM,0.95,0.2,0.1,99.17883212,99.7146933,99.00849858,65.32846715,SVM
141,SVM,0.95,0.25,0.15,99.17883212,99.7146933,99.00849858,66.14963504,SVM
